lands,GDP_comp agr.[%],GDP_comp indus.[%],GDP_comp serv.[%],Electricity - from fossil fuels[%],Population growth rate
Albania,21.6,14.9,63.5,5.2,0.31
Algeria,13.1,38.7,48.2,98.0,1.77
American Samoa,27.4,12.4,60.2,100.0,-0.25
Angola,10.2,61.4,28.4,50.3,2.72
Antigua and Barbuda,2.2,17.8,80.0,100.0,1.23
Argentina,11.4,30.2,58.4,68.1,0.93
Armenia,19.6,29.1,51.3,32.2,-0.18
Aruba,0.4,33.3,66.3,90.6,1.3
Australia,1.3,28.1,70.6,32.8,0.51
Azerbaijan,6.4,61.1,32.5,85.0,0.92
Bahamas,2.3,7.6,90.1,100.0,0.83
Bahrain,0.3,33.8,65.9,99.9,2.33
Barbados,2.8,11.7,85.5,100.0,0.3
Belarus,45.8,17.1,37.1,1.8,3.26
Belgium,0.6,21.8,77.6,39.3,0.73
Belize,11.7,14.5,59.9,46.9,1.84
Bermuda,0.7,5.8,93.4,98.2,0.47
Bhutan,16.4,42.1,41.5,0.7,1.09
Bolivia,13.3,37.4,53.6,68.8,1.54
Bosnia and Herzegovina,7.8,26.8,65.4,54.8,-0.14
Botswana,1.8,29.8,68.4,100.0,1.19
Brazil,6.3,21.8,72.0,18.7,0.75
Brunei,22.9,24.9,52.2,99.4,2.75
Bulgaria,15.1,28.6,56.3,97.7,1.05
Burkina Faso,32.5,21.8,45.7,86.6,3.01
Cabo Verde,7.4,16.4,76.2,76.5,1.35
Cambodia,26.7,29.8,43.5,32.7,1.56
Cameroon,21.3,30.8,47.9,28.5,2.58
Canada,1.6,27.7,70.7,25.7,0.74
Cayman Islands,0.3,7.2,92.5,100.0,2.05
Central African Republic,58.0,11.7,30.3,43.2,2.12
Chad,53.0,12.8,34.2,100.0,1.88
Chile,4.0,32.4,63.6,62.1,0.8
China,8.6,40.7,50.7,67.3,0.43
Colombia,6.9,34,59.1,32.1,1.02
Comoros,50.0,12.1,37.9,95.5,1.71
Croatia,4.2,26.6,69.2,37.1,-0.5
Cuba,3.9,23,72.2,99.3,-0.3
Curacao,5.1,12.7,82.1,99.5,-2.88
Cyprus,2.3,10.4,87.2,90.0,1.38
Czechia,2.5,37.5,60.0,55.6,0.14
Denmark,1.1,23.4,75.5,56.8,0.22
Dominican Republic,5.1,32.8,62.2,85.2,1.21
Ecuador,6.2,34,59.8,57.3,1.31
Egypt,11.3,35.8,52.9,87.7,2.51
El Salvador,10.6,25.3,64.1,53.1,0.25
Equatorial Guinea,8.8,71.7,16.5,22.6,2.48
Eritrea,12.1,29.5,58.5,98.7,0.81
Estonia,1.6,25.5,73.6,49.0,0.23
Eswatini,5.8,44.5,49.7,59.7,1.1
Ethiopia,36.2,17,46.8,8.3,2.88
Faroe Islands,16.0,29,55.0,60.1,0.53
Fiji,10.6,18.4,71.0,46.3,0.63
Finland,2.5,26.9,70.6,51.6,0.38
French Polynesia,2.5,13,84.5,79.0,0.91
Gambia,21.4,15.6,63.0,100.0,2.11
Ghana,19.5,24,56.4,45.4,2.18
Gibraltar,0.0,0,100.0,100.0,0.24
Greece,4.1,15,80.9,70.4,-0.03
Greenland,13.9,19.2,67.0,100.0,-0.02
Grenada,9.6,13.8,76.6,98.6,0.46
Guatemala,13.2,23.5,63.3,61.9,1.79
Guernsey,9.2,21.6,68.3,39.2,-0.05
Guinea,19.7,37.7,42.6,67.8,2.62
Guinea-Bissau,45.0,13.3,41.7,99.0,1.88
Guyana,20.6,33.1,46.3,96.1,0.17
Haiti,14.7,15.5,69.8,60.2,0.2
Honduras,13.8,26.6,59.6,60.9,1.64
Hong Kong,0.1,7.2,92.8,100.0,0.35
Hungary,3.5,31.8,64.7,22.0,-0.24
Iceland,5.9,20.4,73.7,4.3,1.17
India,16.5,29.8,45.4,68.7,1.19
Iran,9.1,39.9,51.0,85.6,1.18
Iraq,5.7,45.1,49.3,92.0,2.87
Ireland,4.5,46.4,49.1,59.0,1.92
Ivory Coast,17.6,19.5,62.8,60.3,1.88
Jamaica,6.7,21.3,72.0,91.7,0.68
Japan,1.2,27.7,71.1,64.4,-0.19
Jordan,4.2,29.6,66.2,99.6,0.83
Kazakhstan,5.1,33,61.9,87.3,1.09
Kenya,32.7,18,49.3,42.4,1.81
Kuwait,0.4,59.6,40.0,100.0,1.53
Kyrgyzstan,17.9,25.9,56.2,21.1,1.09
Laos,21.3,32.5,39.4,1.7,1.53
Latvia,3.3,23.2,73.6,26.3,-1.07
Lebanon,5.7,25,69.4,90.2,0.85
Liberia,35.4,14.4,50.2,100.0,2.44
Libya,1.9,43.2,54.9,99.2,1.8
Lithuania,7.3,31.1,61.5,0.0,0.3
Luxembourg,0.2,11.1,88.7,27.5,2.05
Macao,0.0,11.2,88.8,100.0,0.77
Madagascar,24.8,16.3,58.9,69.6,2.54
Malawi,32.0,17.5,50.5,0.7,3.32
Malaysia,8.2,37.8,54.0,87.6,1.4
Maldives,3.5,19.3,77.2,100.0,-0.07
Mali,41.0,18.6,40.4,48.4,2.96
Malta,1.4,11.4,87.2,91.7,0.29
Mauritania,24.1,34.8,41.1,66.9,2.2
Mauritius,4.0,22.1,73.9,96.5,0.61
Mexico,3.7,33.1,63.2,74.2,1.15
Micronesia,26.3,18.9,54.8,96.0,-0.49
Moldova,14.1,21.2,64.7,96.4,-1.04
Monaco,1.7,19.4,78.8,20.3,0.41
Mongolia,14.6,35.1,50.3,99.8,1.25
Montenegro,8.3,21.2,70.5,24.6,-0.35
Montserrat,1.6,21.8,76.6,100.0,0.48
Mozambique,25.3,19.8,54.9,10.2,2.45
Myanmar,26.3,27.5,46.2,24.8,1.0
Namibia,5.5,29,65.6,31.8,1.98
Nauru,6.1,33,60.8,100.0,0.52
Nepal,29.4,13,50.4,7.5,1.24
Netherlands,1.6,17.8,70.4,83.7,0.4
Netherlands Antilles,14.0,79,6.0,61.3,0.07
New Caledonia,1.5,25.1,73.4,76.7,1.35
New Zealand,4.2,26.5,69.2,29.0,0.8
Nicaragua,21.1,19.4,59.5,65.0,2.44
Nigeria,36.5,18.5,45.0,100.0,3.22
Niue,23.5,26.9,49.5,100.0,-0.03
North Korea,25.1,40.9,33.9,47.4,0.53
North Macedonia,11.2,26.3,62.5,64.5,0.18
Norway,1.8,34.7,63.5,4.7,1.07
Pakistan,25.2,lands,55.6,67.1,1.45
Palestinian Territory,3.5,25.2,71.4,100.0,1.86
Papua New Guinea,22.3,37.6,40.1,61.1,1.75
Paraguay,17.1,27.3,55.6,0.1,1.17
Peru,7.3,34.2,58.5,63.2,0.96
Philippines,9.7,30.5,59.8,68.0,1.59
Poland,2.7,38.5,58.9,89.5,-0.11
Portugal,2.4,21.9,75.9,42.4,0.07
Puerto Rico,0.8,50.1,49.1,96.4,-0.54
Qatar,0.1,51.1,48.8,98.5,2.64
Republic of the Congo,20.1,31.7,48.1,1.4,2.42
Romania,3.3,35.4,61.3,44.3,-0.32
Russia,4.7,33.1,62.2,68.8,-0.06
Rwanda,34.6,15.1,50.3,34.3,2.53
Saint Pierre and Miquelon,2.7,14.3,83.0,38.7,1.3
Saint Vincent and the Grenadines,7.9,17.2,75.0,85.1,-0.26
Samoa,10.7,24,65.4,71.4,0.59
Sao Tome and Principe,2.9,14.1,83.0,100.0,0.33
Senegal,15.6,24.1,60.3,99.7,2.42
Serbia,9.7,42.7,47.6,59.2,-0.46
Serbia and Montenegro,5.5,18.6,75.9,30.7,1.19
Seychelles,1.3,27.2,71.5,95.2,0.75
Sierra Leone,71.1,7.9,21.0,33.3,2.36
Slovakia,3.6,31.6,64.8,33.2,0.01
Slovenia,2.3,33.6,64.1,34.1,-0.29
Solomon Islands,52.8,8,39.2,100.0,1.98
Somalia,60.2,7.4,32.5,100.0,1.92
South Africa,2.2,29.2,68.7,90.4,0.99
South Korea,2.3,37.6,60.2,69.6,0.53
Spain,2.5,22.4,75.1,43.0,0.84
Sri Lanka,8.5,30.9,60.6,51.1,0.8
Sudan,27.5,20.7,51.8,30.7,1.69
Suriname,6.7,49.9,43.4,54.1,1.05
Sweden,1.7,34.2,64.0,9.5,0.81
Syria,19.5,19,61.5,82.9,1.56
Taiwan,1.8,36.1,62.1,75.6,0.2
Tajikistan,29.2,21.6,49.2,9.0,1.66
Tanzania,25.1,27.6,47.3,33.5,2.77
Thailand,8.9,35.9,55.3,90.2,0.32
Timor Leste,13.7,40.3,46.0,83.2,0.89
Tokelau,0.5,9.7,89.8,100.0,2.23
Tonga,19.2,20.6,60.1,100.0,-0.01
Trinidad and Tobago,0.5,13.9,85.6,100.0,-0.17
Tunisia,10.1,28.3,61.6,95.9,0.86
Turkey,8.6,27.1,64.3,61.0,0.9
Turkmenistan,13.2,47.7,39.2,100.0,1.13
Tuvalu,24.5,5.6,70.0,96.0,0.85
U.S. Virgin Islands,1.0,11.1,87.9,100.0,2.28
Uganda,24.5,21,54.4,21.0,3.22
Ukraine,14.4,26.3,59.3,63.7,-0.39
United Arab Emirates,0.7,44.6,54.7,99.8,2.47
United Kingdom,0.6,19.2,80.2,71.1,0.53
United States,1.1,19.4,79.5,73.5,0.81
Uruguay,6.3,26.1,67.6,44.5,0.27
Uzbekistan,19.3,33.9,46.8,86.2,0.93
Vanuatu,26.0,9,65.0,89.3,1.9
Vatican,2.2,23.9,73.8,58.9,0.23
Venezuela,4.0,36.1,59.9,44.3,1.28
Vietnam,17.0,39,44.0,48.9,0.95
Yemen,3.6,28.2,68.2,78.5,1.05
Zambia,9.2,29.2,61.7,0.4,2.94
Zimbabwe,24.0,21,55.0,35.4,2.34
